Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,2007M10,Whole Milk,Million Litres,31.9
Milk Sales (Dairy) for Human Consumption,2007M11,Whole Milk,Million Litres,30.9
Milk Sales (Dairy) for Human Consumption,2007M12,Whole Milk,Million Litres,30.2
Milk Sales (Dairy) for Human Consumption,2008M01,Whole Milk,Million Litres,30.9
Milk Sales (Dairy) for Human Consumption,2008M02,Whole Milk,Million Litres,29.1
Milk Sales (Dairy) for Human Consumption,2008M03,Whole Milk,Million Litres,29.8
Milk Sales (Dairy) for Human Consumption,2008M04,Whole Milk,Million Litres,31.4
Milk Sales (Dairy) for Human Consumption,2008M05,Whole Milk,Million Litres,29.9
Milk Sales (Dairy) for Human Consumption,2008M06,Whole Milk,Million Litres,29.4
Milk Sales (Dairy) for Human Consumption,2008M07,Whole Milk,Million Litres,29.7
Milk Sales (Dairy) for Human Consumption,2008M08,Whole Milk,Million Litres,30
Milk Sales (Dairy) for Human Consumption,2008M09,Whole Milk,Million Litres,29.2
Milk Sales (Dairy) for Human Consumption,2008M10,Whole Milk,Million Litres,29.8
Milk Sales (Dairy) for Human Consumption,2008M11,Whole Milk,Million Litres,28.8
Milk Sales (Dairy) for Human Consumption,2008M12,Whole Milk,Million Litres,29.4
Milk Sales (Dairy) for Human Consumption,2009M01,Whole Milk,Million Litres,29.2
Milk Sales (Dairy) for Human Consumption,2009M02,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2009M03,Whole Milk,Million Litres,30.6
Milk Sales (Dairy) for Human Consumption,2009M04,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2009M05,Whole Milk,Million Litres,27.9
Milk Sales (Dairy) for Human Consumption,2009M06,Whole Milk,Million Litres,27.3
Milk Sales (Dairy) for Human Consumption,2009M07,Whole Milk,Million Litres,27.7
Milk Sales (Dairy) for Human Consumption,2009M08,Whole Milk,Million Litres,27.8
Milk Sales (Dairy) for Human Consumption,2009M09,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2009M10,Whole Milk,Million Litres,27.6
Milk Sales (Dairy) for Human Consumption,2009M11,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2009M12,Whole Milk,Million Litres,27.8
Milk Sales (Dairy) for Human Consumption,2010M01,Whole Milk,Million Litres,27.6
Milk Sales (Dairy) for Human Consumption,2010M02,Whole Milk,Million Litres,25.2
Milk Sales (Dairy) for Human Consumption,2010M03,Whole Milk,Million Litres,29.1
Milk Sales (Dairy) for Human Consumption,2010M04,Whole Milk,Million Litres,25.2
Milk Sales (Dairy) for Human Consumption,2010M05,Whole Milk,Million Litres,27.3
Milk Sales (Dairy) for Human Consumption,2010M06,Whole Milk,Million Litres,26.7
Milk Sales (Dairy) for Human Consumption,2010M07,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2010M08,Whole Milk,Million Litres,27.1
Milk Sales (Dairy) for Human Consumption,2010M09,Whole Milk,Million Litres,26.5
Milk Sales (Dairy) for Human Consumption,2010M10,Whole Milk,Million Litres,26.3
Milk Sales (Dairy) for Human Consumption,2010M11,Whole Milk,Million Litres,27.4
Milk Sales (Dairy) for Human Consumption,2010M12,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2011M01,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2011M02,Whole Milk,Million Litres,24.4
Milk Sales (Dairy) for Human Consumption,2011M03,Whole Milk,Million Litres,28
Milk Sales (Dairy) for Human Consumption,2011M04,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2011M05,Whole Milk,Million Litres,27.9
Milk Sales (Dairy) for Human Consumption,2011M06,Whole Milk,Million Litres,28
Milk Sales (Dairy) for Human Consumption,2011M07,Whole Milk,Million Litres,26.1
Milk Sales (Dairy) for Human Consumption,2011M08,Whole Milk,Million Litres,27
Milk Sales (Dairy) for Human Consumption,2011M09,Whole Milk,Million Litres,25.6
Milk Sales (Dairy) for Human Consumption,2011M10,Whole Milk,Million Litres,25.9
Milk Sales (Dairy) for Human Consumption,2011M11,Whole Milk,Million Litres,25.3
Milk Sales (Dairy) for Human Consumption,2011M12,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2012M01,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2012M02,Whole Milk,Million Litres,24.2
Milk Sales (Dairy) for Human Consumption,2012M03,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2012M04,Whole Milk,Million Litres,24.1
Milk Sales (Dairy) for Human Consumption,2012M05,Whole Milk,Million Litres,25.3
Milk Sales (Dairy) for Human Consumption,2012M06,Whole Milk,Million Litres,25.1
Milk Sales (Dairy) for Human Consumption,2012M07,Whole Milk,Million Litres,24.8
Milk Sales (Dairy) for Human Consumption,2012M08,Whole Milk,Million Litres,25.7
Milk Sales (Dairy) for Human Consumption,2012M09,Whole Milk,Million Litres,24.4
Milk Sales (Dairy) for Human Consumption,2012M10,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2012M11,Whole Milk,Million Litres,25.5
Milk Sales (Dairy) for Human Consumption,2012M12,Whole Milk,Million Litres,25.1
Milk Sales (Dairy) for Human Consumption,2013M01,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2013M02,Whole Milk,Million Litres,22.8
Milk Sales (Dairy) for Human Consumption,2013M03,Whole Milk,Million Litres,25.3
Milk Sales (Dairy) for Human Consumption,2013M04,Whole Milk,Million Litres,24.7
Milk Sales (Dairy) for Human Consumption,2013M05,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2013M06,Whole Milk,Million Litres,24.3
Milk Sales (Dairy) for Human Consumption,2013M07,Whole Milk,Million Litres,24.6
Milk Sales (Dairy) for Human Consumption,2013M08,Whole Milk,Million Litres,24.1
Milk Sales (Dairy) for Human Consumption,2013M09,Whole Milk,Million Litres,23
Milk Sales (Dairy) for Human Consumption,2013M10,Whole Milk,Million Litres,23.6
Milk Sales (Dairy) for Human Consumption,2013M11,Whole Milk,Million Litres,23.9
Milk Sales (Dairy) for Human Consumption,2013M12,Whole Milk,Million Litres,23.4
Milk Sales (Dairy) for Human Consumption,2014M01,Whole Milk,Million Litres,23.5
Milk Sales (Dairy) for Human Consumption,2014M02,Whole Milk,Million Litres,21.3
Milk Sales (Dairy) for Human Consumption,2014M03,Whole Milk,Million Litres,25.4
Milk Sales (Dairy) for Human Consumption,2014M04,Whole Milk,Million Litres,21.9
Milk Sales (Dairy) for Human Consumption,2014M05,Whole Milk,Million Litres,24.9
Milk Sales (Dairy) for Human Consumption,2014M06,Whole Milk,Million Litres,24.3
Milk Sales (Dairy) for Human Consumption,2014M07,Whole Milk,Million Litres,23.3
Milk Sales (Dairy) for Human Consumption,2014M08,Whole Milk,Million Litres,23.2
Milk Sales (Dairy) for Human Consumption,2014M09,Whole Milk,Million Litres,23.2
Milk Sales (Dairy) for Human Consumption,2014M10,Whole Milk,Million Litres,23.6
Milk Sales (Dairy) for Human Consumption,2014M11,Whole Milk,Million Litres,24.2
Milk Sales (Dairy) for Human Consumption,2014M12,Whole Milk,Million Litres,24.9
Milk Sales (Dairy) for Human Consumption,2015M01,Whole Milk,Million Litres,25
Milk Sales (Dairy) for Human Consumption,2015M02,Whole Milk,Million Litres,22.7
Milk Sales (Dairy) for Human Consumption,2015M03,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2015M04,Whole Milk,Million Litres,23.6
Milk Sales (Dairy) for Human Consumption,2015M05,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2015M06,Whole Milk,Million Litres,24.9
Milk Sales (Dairy) for Human Consumption,2015M07,Whole Milk,Million Litres,25.5
Milk Sales (Dairy) for Human Consumption,2015M08,Whole Milk,Million Litres,25.5
Milk Sales (Dairy) for Human Consumption,2015M09,Whole Milk,Million Litres,24.7
Milk Sales (Dairy) for Human Consumption,2015M10,Whole Milk,Million Litres,25.5
Milk Sales (Dairy) for Human Consumption,2015M11,Whole Milk,Million Litres,24.4
Milk Sales (Dairy) for Human Consumption,2015M12,Whole Milk,Million Litres,24.4
Milk Sales (Dairy) for Human Consumption,2016M01,Whole Milk,Million Litres,24.7
Milk Sales (Dairy) for Human Consumption,2016M02,Whole Milk,Million Litres,24.2
Milk Sales (Dairy) for Human Consumption,2016M03,Whole Milk,Million Litres,25.7
Milk Sales (Dairy) for Human Consumption,2016M04,Whole Milk,Million Litres,25.8
Milk Sales (Dairy) for Human Consumption,2016M05,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2016M06,Whole Milk,Million Litres,26
Milk Sales (Dairy) for Human Consumption,2016M07,Whole Milk,Million Litres,26.7
Milk Sales (Dairy) for Human Consumption,2016M08,Whole Milk,Million Litres,26.8
Milk Sales (Dairy) for Human Consumption,2016M09,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2016M10,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2016M11,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2016M12,Whole Milk,Million Litres,26.5
Milk Sales (Dairy) for Human Consumption,2017M01,Whole Milk,Million Litres,26.2
Milk Sales (Dairy) for Human Consumption,2017M02,Whole Milk,Million Litres,24.2
Milk Sales (Dairy) for Human Consumption,2017M03,Whole Milk,Million Litres,27.7
Milk Sales (Dairy) for Human Consumption,2017M04,Whole Milk,Million Litres,26.4
Milk Sales (Dairy) for Human Consumption,2017M05,Whole Milk,Million Litres,28.7
Milk Sales (Dairy) for Human Consumption,2017M06,Whole Milk,Million Litres,30
Milk Sales (Dairy) for Human Consumption,2017M07,Whole Milk,Million Litres,27.1
Milk Sales (Dairy) for Human Consumption,2017M08,Whole Milk,Million Litres,27.6
Milk Sales (Dairy) for Human Consumption,2017M09,Whole Milk,Million Litres,27.1
Milk Sales (Dairy) for Human Consumption,2017M10,Whole Milk,Million Litres,27.3
Milk Sales (Dairy) for Human Consumption,2017M11,Whole Milk,Million Litres,27
Milk Sales (Dairy) for Human Consumption,2017M12,Whole Milk,Million Litres,27.1
Milk Sales (Dairy) for Human Consumption,2018M01,Whole Milk,Million Litres,27.7
Milk Sales (Dairy) for Human Consumption,2018M02,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2018M03,Whole Milk,Million Litres,28.5
Milk Sales (Dairy) for Human Consumption,2018M04,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2018M05,Whole Milk,Million Litres,29.1
Milk Sales (Dairy) for Human Consumption,2018M06,Whole Milk,Million Litres,26.8
Milk Sales (Dairy) for Human Consumption,2018M07,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2018M08,Whole Milk,Million Litres,27.3
Milk Sales (Dairy) for Human Consumption,2018M09,Whole Milk,Million Litres,26.4
Milk Sales (Dairy) for Human Consumption,2018M10,Whole Milk,Million Litres,27.3
Milk Sales (Dairy) for Human Consumption,2018M11,Whole Milk,Million Litres,27.2
Milk Sales (Dairy) for Human Consumption,2018M12,Whole Milk,Million Litres,27
Milk Sales (Dairy) for Human Consumption,2019M01,Whole Milk,Million Litres,26.9
Milk Sales (Dairy) for Human Consumption,2019M02,Whole Milk,Million Litres,25.3
Milk Sales (Dairy) for Human Consumption,2019M03,Whole Milk,Million Litres,29
Milk Sales (Dairy) for Human Consumption,2019M04,Whole Milk,Million Litres,28.5
Milk Sales (Dairy) for Human Consumption,2019M05,Whole Milk,Million Litres,28.2
Milk Sales (Dairy) for Human Consumption,2019M06,Whole Milk,Million Litres,29.4
Milk Sales (Dairy) for Human Consumption,2019M07,Whole Milk,Million Litres,29.1
Milk Sales (Dairy) for Human Consumption,2019M08,Whole Milk,Million Litres,28.6
Milk Sales (Dairy) for Human Consumption,2019M09,Whole Milk,Million Litres,26.8
Milk Sales (Dairy) for Human Consumption,2019M10,Whole Milk,Million Litres,28.9
Milk Sales (Dairy) for Human Consumption,2019M11,Whole Milk,Million Litres,26.8
Milk Sales (Dairy) for Human Consumption,2019M12,Whole Milk,Million Litres,25.8
Milk Sales (Dairy) for Human Consumption,2020M01,Whole Milk,Million Litres,26.1
Milk Sales (Dairy) for Human Consumption,2020M02,Whole Milk,Million Litres,25.8
Milk Sales (Dairy) for Human Consumption,2020M03,Whole Milk,Million Litres,29.1
Milk Sales (Dairy) for Human Consumption,2020M04,Whole Milk,Million Litres,32
Milk Sales (Dairy) for Human Consumption,2020M05,Whole Milk,Million Litres,31.6
Milk Sales (Dairy) for Human Consumption,2020M06,Whole Milk,Million Litres,30.6
Milk Sales (Dairy) for Human Consumption,2020M07,Whole Milk,Million Litres,31.5
Milk Sales (Dairy) for Human Consumption,2020M08,Whole Milk,Million Litres,28.9
Milk Sales (Dairy) for Human Consumption,2020M09,Whole Milk,Million Litres,26.7
Milk Sales (Dairy) for Human Consumption,2020M10,Whole Milk,Million Litres,26.3
Milk Sales (Dairy) for Human Consumption,2020M11,Whole Milk,Million Litres,25
Milk Sales (Dairy) for Human Consumption,2020M12,Whole Milk,Million Litres,25.1
Milk Sales (Dairy) for Human Consumption,2021M01,Whole Milk,Million Litres,25.1
Milk Sales (Dairy) for Human Consumption,2021M02,Whole Milk,Million Litres,22.4
Milk Sales (Dairy) for Human Consumption,2021M03,Whole Milk,Million Litres,26.5
Milk Sales (Dairy) for Human Consumption,2021M04,Whole Milk,Million Litres,27.7
Milk Sales (Dairy) for Human Consumption,2021M05,Whole Milk,Million Litres,30.8
Milk Sales (Dairy) for Human Consumption,2021M06,Whole Milk,Million Litres,29.7
Milk Sales (Dairy) for Human Consumption,2021M07,Whole Milk,Million Litres,30.2
Milk Sales (Dairy) for Human Consumption,2021M08,Whole Milk,Million Litres,29
Milk Sales (Dairy) for Human Consumption,2021M09,Whole Milk,Million Litres,26.6
Milk Sales (Dairy) for Human Consumption,2021M10,Whole Milk,Million Litres,26.1
Milk Sales (Dairy) for Human Consumption,2021M11,Whole Milk,Million Litres,25.5
Milk Sales (Dairy) for Human Consumption,2021M12,Whole Milk,Million Litres,24.1
Milk Sales (Dairy) for Human Consumption,2022M01,Whole Milk,Million Litres,24.9
Milk Sales (Dairy) for Human Consumption,2022M02,Whole Milk,Million Litres,22.3
